society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,latitude,longitude
emaar palm gardens,Sector 83 ,2.55,13784.0,3,4,3,8,North-West,Moderately Old,1542.0,0,1,0,0,0,Semi-Furnished,0,28.395943,76.9751441
vatika sovereign park,Sector 99 ,3.99,11875.0,4,4,3+,7,East,New Property,2963.0,1,1,1,0,0,Semi-Furnished,15,28.4640168,76.9657909
m3m golfestate,Sector 65 ,10.39,25910.0,3,3,3,11,East,Relatively New,3511.0,0,1,0,0,0,Semi-Furnished,3,28.401329286668062,77.06593680845197
bestech park view sanskruti,Sector 92 ,2.25,11719.0,3,3,3+,3,East,Relatively New,1711.0,0,1,0,0,0,Semi-Furnished,0,28.4089145,76.925593
"breez flora avenue,",Sector-33 Sohna,1.9,13240.0,3,2,3,G,East,New Property,1435.0,0,1,0,0,0,Semi-Furnished,32,28.285177199722224,77.06826679999999
indiabulls enigma,Sector 110 ,4.75,14179.0,4,5,2,8,North-East,Relatively New,2986.0,0,1,0,0,0,Semi-Furnished,0,28.501072222222223,77.00964722222223
parsvnath exotica,Sector 53 ,13.5,28939.0,5,6,3+,9,North,Moderately Old,4000.0,0,1,0,1,0,Furnished,21,28.44422225633045,77.0981458131856
godrej air,Sector 85 ,1.9,13514.0,2,2,3,8,North-East,Relatively New,1124.0,0,1,0,1,0,Semi-Furnished,0,28.4083691,76.9519856
godrej air,Sector 85 ,2.95,13856.0,3,3,3+,5,North-East,Relatively New,1703.0,0,1,0,0,0,Semi-Furnished,0,28.4077624,76.9541567
conscient heritage max,Sector 102 ,3.1,14425.0,3,4,3+,6,North-East,Relatively New,2100.0,1,1,0,0,0,Unknown,0,28.470137,76.9713341
gpl eden heights,Sector 70 ,2.05,13576.0,2,3,3+,14,North,Moderately Old,1346.0,0,1,0,1,0,Semi-Furnished,0,28.392531210523725,77.02187473484165
signature global city,Sector 37D ,1.5,12000.0,3,2,3,1,North-East,New Property,1114.0,1,0,0,0,0,Semi-Furnished,4,28.44215011111111,76.97034452777778
signature global city 92,Sector 92 ,1.08,10693.0,2,2,2,2,South-East,New Property,900.0,0,1,0,0,0,Semi-Furnished,3,28.41068458333333,76.92123411111112
pareena mi casa,Sector 68 ,1.55,12450.0,2,2,3,10,East,New Property,1110.0,0,1,0,0,0,Semi-Furnished,24,28.38817222222222,77.04184166666667
unitech the world spa west,Sector 30 ,12.0,28018.0,4,5,3+,5,North-West,Old Property,4281.0,0,1,0,0,0,Semi-Furnished,7,28.45761509193957,77.05818774813416
adore the select premia,Sector 77 ,2.6,12352.0,3,4,3+,24,North-West,Under Construction,1876.0,0,1,0,0,0,Unknown,0,28.387698,76.984016
ireo skyon,Sector 60 ,3.93,19218.0,3,4,3+,11,North-East,Relatively New,1773.0,1,1,1,1,0,Semi-Furnished,24,28.4002716,77.09693929999999
m3m soulitude,Sector 89 ,1.67,11178.0,3,3,2,1,North-East,New Property,1400.0,1,1,0,0,0,Unknown,13,28.4215176,76.9450665
experion windchants,Sector 112 ,3.85,15772.0,2,2,2,14,North,New Property,2440.0,1,1,0,0,0,Semi-Furnished,5,28.51847777777777,77.01491111111112
conscient elevate,Sector 59 ,5.6,24401.0,3,3,3,15,North,New Property,1800.0,0,1,0,0,0,Unknown,0,28.4091545,77.1058462
central park resort belgravia residences,Sector 48 ,7.45,30235.0,3,3,3+,8,North,Moderately Old,2196.0,0,1,0,0,0,Semi-Furnished,8,28.4237102,77.0360314
greenopolis,Sector 89 ,1.67,8743.0,3,4,3,6,North,Relatively New,1656.0,0,1,0,0,0,Unknown,0,28.4166034,76.9475063
umang winter hills,Sector 77 ,1.36,10134.0,2,2,2,6,North,Relatively New,1144.0,0,0,0,0,1,Semi-Furnished,4,28.3820021,76.9793561
shree vardhman victoria,Sector 70 ,2.25,11538.0,3,5,3,10,North-East,Relatively New,1850.0,0,1,0,1,0,Semi-Furnished,13,28.39374774226266,77.01851580255482
ats kocoon,Sector 109 ,2.55,12172.0,3,4,3,22,North-East,Moderately Old,1860.0,0,1,0,0,0,Unknown,7,28.5081956,77.0025746
emaar digihomes,Sector 62 ,3.3,21883.0,2,2,2,14,East,Old Property,1215.0,0,0,0,1,0,Semi-Furnished,0,28.40395277777777,77.08547222222222
godrej air,Sector 85 ,3.14,14749.0,3,4,3,14,North,New Property,1858.0,0,1,0,0,0,Semi-Furnished,0,28.40581130555556,76.95152280555556
dlf the primus,Sector 82A ,2.85,15677.0,3,4,3+,25,East,Moderately Old,1495.0,0,1,0,0,0,Furnished,0,28.3868908,76.965703
spaze privy at4,Sector 84 ,2.25,9890.0,3,4,3,10,East,New Property,2028.0,1,1,0,0,0,Semi-Furnished,0,28.4076136,76.9635068
tashee capital gateway,Sector 111 ,2.5,12563.0,3,3,3+,10,North-West,Relatively New,1774.0,0,1,0,0,0,Unknown,3,28.51734971546242,77.03242047987887
emaar mgf the palm drive,Sector 66 ,4.7,21364.0,3,3,3,6,East,Moderately Old,1957.0,1,0,0,0,0,Semi-Furnished,2,28.40125,77.05183888888888
central park resorts,Sector 48 ,3.95,27856.0,2,2,2,9,North-East,Moderately Old,1630.0,1,0,0,0,0,Semi-Furnished,0,28.424558333333334,77.03340833333333
ireo the corridors,Sector 67A ,3.19,17225.0,3,4,2,6,East,New Property,1443.0,0,1,0,0,0,Furnished,6,28.3836872,77.067794
dlf gardencity enclave,Sector 93 ,2.05,12615.0,3,3,3,4,North-East,Relatively New,1448.0,0,1,0,0,0,Semi-Furnished,14,28.4185735,76.93003649972222
smart world gems,Sector 89 ,1.66,11111.0,3,3,2,2,East,Relatively New,1332.0,1,0,0,0,1,Unknown,6,28.421919444444445,76.94543333333334
sobha city,Sector 108 ,4.65,21079.0,3,4,3,1,East,Relatively New,1803.0,1,0,0,0,1,Semi-Furnished,0,28.5168756,76.995936
godrej air,Sector 85 ,2.21,19318.0,2,2,3,12,South,New Property,1315.0,1,0,0,0,1,Semi-Furnished,0,28.4088732,76.9461216
altura at dxp 92,Sector 92 ,2.55,11184.0,4,5,3+,10,North,New Property,1962.0,0,1,0,0,0,Semi-Furnished,22,28.420052972222223,76.91607997222222
dlf park place,Sector 54 ,6.71,33838.0,3,4,3+,15,West,Moderately Old,1500.0,0,1,0,0,0,Furnished,22,28.4432517,77.1076794
pioneer urban presidia,Sector 62 ,12.4,25567.0,5,5,3,7,West,Moderately Old,4323.0,0,1,0,0,0,Unknown,3,28.4120927,77.0897065
mahindra aura,Sector 110 A ,2.2,15636.0,3,3,2,7,West,Moderately Old,1254.0,0,1,0,0,0,Semi-Furnished,0,28.511994444444444,77.02774722222222
ramprastha the edge towers,Sector 37D ,1.48,8362.0,3,3,3+,7,South-East,Relatively New,1460.0,0,1,0,0,0,Unknown,5,28.4469811,76.9694183
dlf the skycourt,Sector 86 ,2.32,12021.0,3,3,3+,16,North-West,Relatively New,1720.0,0,1,0,0,0,Semi-Furnished,7,28.3982454,76.9373361
dlf new town heights 2,Sector 86 ,2.45,10399.0,4,4,3+,6,South,Moderately Old,2100.0,0,1,0,1,0,Unknown,3,28.4011909,76.9348593
dlf new town heights 1,Sector 90 ,2.72,9974.0,4,4,3+,17,North,Relatively New,2200.0,0,1,0,1,0,Unknown,0,28.4066033,76.93202329972223
ramprastha the edge towers,Sector 37D ,1.49,8418.0,3,3,3+,1,North-West,Relatively New,1760.0,0,1,0,1,0,Unknown,0,28.4471267,76.9689867
experion windchants,Sector 112 ,6.43,17262.0,3,4,2,9,East,Relatively New,2808.65,0,1,0,1,0,Semi-Furnished,5,28.5164689,77.0161597
dlf the ultima,Sector 81 ,4.95,17235.0,4,4,3+,11,East,Relatively New,2615.0,1,1,0,1,0,Semi-Furnished,10,28.38950277777778,76.95399722222223
emaar digihomes,Sector 62 ,3.5,23210.0,2,2,2,6,East,Relatively New,1508.0,0,1,0,0,0,Semi-Furnished,7,28.403865666364585,77.08512134849752
ild greens,Sector 37C ,2.1,7603.0,3,3,3+,G,South,New Property,3175.0,1,0,0,1,1,Unknown,1,28.451112972222223,76.984441
tata primanti,Sector 72 ,4.15,18993.0,3,4,3+,16,North-East,Relatively New,1900.0,0,1,0,0,0,Semi-Furnished,24,28.40673261568365,77.03616026096054
"ireo victory valley,golf course extension road",Sector 67A ,5.85,21699.0,3,4,2,1,North-East,Moderately Old,2696.0,0,1,0,0,0,Unknown,0,28.382146,77.055471
m3m merlin,Sector 67 ,4.49,18708.0,3,4,3,19,East,Relatively New,1800.0,0,1,0,0,0,Semi-Furnished,4,28.38868521632541,77.05866998294287
ats marigold,Sector 89 A ,3.15,14651.0,3,4,3+,21,East,New Property,2471.0,0,1,0,0,0,Unknown,3,28.4369623,76.9463977
godrej meridien,Sector 106 ,4.15,15257.0,4,4,3+,8,North-East,Relatively New,2000.0,1,1,0,1,0,Unknown,0,28.506220742666667,76.99092518538889
m3m woodshire,Sector 107 ,2.3,9742.0,3,4,3+,10,North-East,Relatively New,2104.0,1,1,1,1,0,Semi-Furnished,0,28.5144225,76.97148
trump tower,Sector 65 ,12.9,36596.0,3,5,3+,20,North-East,New Property,3100.0,0,1,0,0,0,Unknown,15,28.40045858743951,77.07265135043819
m3m mansion,Sector 113  ,3.74,17981.0,3,3,3,10,West,Relatively New,1585.0,1,0,0,0,0,Unknown,2,28.5324813,77.01872919972222
sare homes,Sector 92 ,1.66,8816.0,4,3,2,12,North,Relatively New,1672.0,1,0,0,0,0,Unknown,15,28.41124981229403,76.90990900675693
dlf the skycourt,Sector 86 ,2.4,12442.0,3,3,1,17,East,Relatively New,1600.0,1,0,0,0,0,Semi-Furnished,24,28.3963064,76.9350731
gpl eden heights,Sector 70 ,1.7,13600.0,2,2,3+,5,North,Moderately Old,1114.0,1,0,0,0,0,Semi-Furnished,15,28.394135824089105,77.02242303209474
m3m skycity,Sector 65 ,4.0,19608.0,3,3,3,28,North-East,New Property,1818.0,0,1,0,0,0,Unknown,0,28.4049448,77.0659739
ramprastha the edge towers,Sector 37D ,1.42,8853.0,3,3,3+,1,North-East,Relatively New,1404.0,0,1,0,0,0,Unknown,0,28.4476751,76.96912880000001
godrej zenith,Sector 89 ,5.6,17386.0,4,4,3+,30,North,Under Construction,2871.0,1,1,0,0,0,Semi-Furnished,0,28.411256,76.952234
indiabulls enigma,Sector 110 ,4.75,14179.0,4,5,3+,11,North,Relatively New,2986.0,0,1,0,0,0,Unknown,3,28.5010697,77.0102189
hero homes,Sector 104 ,1.71,15560.0,2,2,2,15,North,New Property,939.0,0,1,0,0,0,Semi-Furnished,6,28.48370555555556,76.99339722222223
unitech escape,Nirvana Country,3.2,16137.0,3,3,3,8,East,Relatively New,1950.0,0,0,1,0,0,Semi-Furnished,24,28.4146723,77.0603381
sare homes,Sector 92 ,1.22,9201.0,3,2,2,9,West,Relatively New,1326.0,0,0,0,0,1,Unknown,36,28.41171393275,76.9132044911389
adani m2k oyster grande,Sector 102 ,2.49,13182.0,3,3,3,15,West,Relatively New,1684.0,0,1,0,0,0,Semi-Furnished,0,28.4814125,76.9728088
dlf new town heights 1,Sector 90 ,3.0,11001.0,4,4,3+,16,North,Relatively New,2500.0,0,1,0,0,0,Unknown,4,28.4063557,76.9315296
ireo the grand arch,sector 58 ,5.2,24030.0,3,4,1,22,North,Moderately Old,1700.0,0,1,0,0,0,Semi-Furnished,0,28.4132714,77.1135725
godrej air,Sector 85 ,2.05,14748.0,2,2,2,7,North-East,New Property,1598.0,1,1,1,1,0,Unknown,13,28.407868953819307,76.950875807327
paras dews,Sector 106 ,1.65,11913.0,2,2,2,4,East,Relatively New,940.0,1,1,1,1,0,Semi-Furnished,3,28.5004972,76.9993003
godrej zenith,Sector 89 ,3.3,18857.0,3,3,3+,5,East,Under Construction,1560.0,1,1,1,1,0,Unknown,3,28.411256,76.952234
experion windchants,Sector 112 ,5.15,18380.0,3,3,3+,9,East,Relatively New,2225.56,0,1,0,0,0,Semi-Furnished,20,28.51751944444444,77.0145111111111
sobha city,Sector 108 ,4.95,21127.0,4,5,3,16,North-East,New Property,1913.0,1,1,0,1,1,Furnished,17,28.516367572916668,76.99565693736112
rof aalayas,Sector 102 ,0.57,9564.0,2,2,1,13,West,Relatively New,573.0,1,1,0,1,1,Unknown,25,28.474779263177464,76.96519577361066
central park,Sector 42 ,5.2,28200.0,3,4,2,8,East,Old Property,1643.0,0,1,0,0,0,Furnished,0,28.4609004,77.0985784
emaar emerald hills,Sector 65 ,3.65,13519.0,4,4,3+,2,North-East,Moderately Old,2238.0,1,1,1,1,0,Semi-Furnished,0,28.397977777777776,77.06929444444444
ireo skyon,Sector 60 ,2.8,20378.0,2,2,2,8,North-East,Relatively New,1130.0,1,1,1,1,0,Semi-Furnished,25,28.4002716,77.09693929999999
godrej meridien,Sector 106 ,3.1,15485.0,3,3,2,10,North,New Property,1697.0,0,1,0,0,0,Semi-Furnished,0,28.50418997422881,76.99131901699837
tulip yellow,Sector 69 ,2.32,13615.0,3,3,3+,10,North-East,Relatively New,1466.0,0,0,0,1,0,Semi-Furnished,9,28.39384722222222,77.03779722222222
emaar palm gardens,Sector 83 ,4.45,11867.0,5,7,3+,14,East,Relatively New,3000.0,0,1,0,0,0,Unknown,0,28.3954764,76.9752403
bestech park view city 2,Sector 49 ,7.0,15408.0,4,6,1,13,East,Old Property,4061.0,1,1,0,1,0,Semi-Furnished,2,28.40310277777777,77.04595277777777
godrej air,Sector 85 ,2.19,15000.0,2,2,3,9,West,New Property,1252.0,1,1,0,1,0,Unknown,7,28.40523147222222,76.95107266666668
emaar imperial gardens,Sector 102 ,2.45,12099.0,3,4,2,11,East,Moderately Old,1805.0,0,1,0,0,0,Semi-Furnished,4,28.48065190232044,76.9695483577339
godrej air,Sector 85 ,3.7,14286.0,4,5,3+,7,West,New Property,2212.0,0,1,1,0,0,Semi-Furnished,0,28.406833638888887,76.95132444444445
sobha city,Sector 108 ,6.95,29663.0,4,5,2,23,East,New Property,1913.0,1,1,1,0,0,Furnished,8,28.515704630287,76.996010072178
m3m golfestate,Sector 65 ,11.65,25889.0,4,5,3+,9,North-East,Relatively New,4011.0,0,1,0,0,0,Semi-Furnished,0,28.40084722222222,77.06701944444444
hamlin apartments,Sector 43 ,3.2,15238.0,3,4,3+,10,North,Old Property,1872.0,0,1,0,0,0,Semi-Furnished,4,28.45309,77.093127
ireo uptown,Sector 66 ,3.35,17895.0,3,3,3+,10,East,Relatively New,1790.0,0,1,0,0,0,Semi-Furnished,9,28.3924859,77.0540907
sare petioles,Sector 92 ,1.78,8505.0,4,4,3,15,West,Relatively New,1644.0,0,1,0,0,0,Unknown,9,28.4125186915,76.91280853002779
ireo skyon,Sector 60 ,5.6,20000.0,4,5,3,24,North-East,Relatively New,2496.0,0,1,0,1,0,Semi-Furnished,0,28.3994364,77.0957256
vatika boulevard residences and heights,Sector 83 ,1.9,10704.0,3,3,2,2,West,Relatively New,1582.0,0,0,1,0,0,Semi-Furnished,22,28.394186,76.968995
mahindra aura,Sector 110 A ,1.45,14646.0,2,2,2,7,East,Moderately Old,882.0,0,0,1,0,0,Semi-Furnished,5,28.51290277777778,77.02622222222222
godrej air,Sector 85 ,2.6,14200.0,3,3,3,10,North-East,New Property,1830.0,0,0,1,0,0,Unknown,0,28.40623692037104,76.95126072254527
parsvnath exotica,Sector 53 ,8.0,30189.0,3,4,3+,2,North,Old Property,2650.0,0,1,0,1,0,Furnished,2,77.099865,28.445927
m3m the marina,Sector 68 ,2.2,13333.0,3,3,3,16,North-East,Relatively New,1250.0,0,0,1,0,0,Furnished,12,28.376041666666666,77.04365277777778
chintels serenity,Sector 109 ,3.15,15000.0,3,4,3+,4,East,New Property,1765.62,0,1,0,1,0,Unknown,0,28.514331,77.004551
experion windchants,Sector 112 ,8.15,17198.0,4,5,3+,22,South-West,Relatively New,3655.35,0,1,0,0,0,Semi-Furnished,3,28.516371,77.0161488
m3m capital,Sector 113  ,2.75,16517.0,3,3,3,8,North-East,New Property,1914.0,1,0,0,0,0,Semi-Furnished,7,28.525165667494857,77.02669643452909
bestech park view sanskruti,Sector 92 ,3.3,14194.0,4,4,3+,17,East,Moderately Old,2072.0,0,1,0,0,0,Furnished,0,28.409208,76.925732
emaar gurgaon greens,Sector 102 ,1.84,11152.0,3,3,3,10,East,Relatively New,1323.0,0,1,0,1,0,Semi-Furnished,21,28.474258416666665,76.96627044444445
m3m the marina,Sector 68 ,2.4,13746.0,3,3,3,6,South-East,Relatively New,1306.0,1,0,0,0,0,Semi-Furnished,0,28.376011294547,77.043588862517
tashee capital gateway,Sector 111 ,2.35,11469.0,3,3,3,G,North-East,New Property,1826.0,1,0,0,0,0,Unknown,7,28.516613888888887,77.031425
central park resorts beau villas,Sector 48 ,5.75,34514.0,2,2,3+,G,West,Relatively New,1485.0,1,0,0,0,0,Semi-Furnished,0,28.42559511236369,77.03369825429107
sobha city,Sector 108 ,5.25,22407.0,4,4,3+,12,North-East,Relatively New,2088.0,1,0,0,0,0,Semi-Furnished,0,28.5175848,76.996424
ireo skyon,Sector 60 ,2.8,20217.0,2,2,2,10,South,Moderately Old,1234.0,1,0,0,0,0,Semi-Furnished,10,28.399277777777776,77.09766388888889
ashiana anmol,Sohna,1.44,11950.0,2,2,2,4,North-East,New Property,1074.0,1,0,0,0,0,Unknown,3,28.2867655,77.0699328
conscient heritage max,Sector 102 ,3.25,15123.0,3,4,3,15,North-East,Relatively New,1915.0,1,1,0,0,0,Semi-Furnished,0,28.470354,76.97046297222222
m3m heights,Sector 65 ,2.9,19129.0,2,2,3,7,West,Relatively New,1351.0,1,0,0,0,0,Semi-Furnished,4,28.405616666666667,77.0669861111111
m3m sierra 68,Sector 68 ,1.52,12418.0,2,2,3,10,North-East,Relatively New,1020.0,1,0,0,0,0,Semi-Furnished,24,28.375516666666663,77.04318055555555
bestech park view city 2,Sector 49 ,3.1,16676.0,3,4,3+,8,North-East,Old Property,1777.0,0,1,0,0,0,Semi-Furnished,9,28.402967,77.0457622
tulip yellow,Sector 69 ,2.2,12911.0,3,3,3+,9,East,New Property,1700.0,0,1,0,0,0,Unknown,20,28.3935613,77.0374795
tulip yellow,Sector 69 ,4.1,13917.0,5,5,3+,15,West,New Property,2019.0,0,0,0,0,1,Unknown,24,28.393839,77.0369697
bestech park view grand spa,Sector 81 ,3.45,12970.0,3,4,3+,11,North-East,Relatively New,2371.0,0,1,0,0,0,Semi-Furnished,13,28.3922032,76.9490645
spaze privvy the address,Sector 93 ,1.68,9307.0,3,4,3+,8,East,Moderately Old,1550.0,0,1,0,0,0,Semi-Furnished,0,28.4137422,76.9355158
orris aster court,Sector 85 ,1.7,10149.0,3,3,3,10,North,Moderately Old,1565.0,0,1,0,0,0,Semi-Furnished,6,28.404675,76.9519138888889
bptp terra,Sector 37D ,2.15,11736.0,3,3,3,15,North-East,Relatively New,1532.0,0,0,0,1,0,Semi-Furnished,0,28.45639104647222,76.97349887341667
sare homes,Sector 92 ,1.72,8190.0,4,3,3,12,North,Relatively New,1900.0,0,1,0,0,0,Semi-Furnished,34,28.4122672,76.9113445
smart world gems,Sector 89 ,1.65,10978.0,3,3,2,4,East,New Property,1340.0,0,0,1,1,0,Semi-Furnished,16,28.422465,76.9461536
vatika lifestyle homes,Sector 83 ,2.05,10963.0,3,2,3,6,East,Moderately Old,1586.0,0,0,1,1,0,Semi-Furnished,22,28.398939599722222,76.9714663
conscient heritage max,Sector 102 ,3.1,14425.0,3,4,3+,10,West,Relatively New,1915.0,1,1,0,0,0,Semi-Furnished,0,28.470066666666664,76.97108333333334
bestech altura,Sector 79 ,2.5,12407.0,3,3,3,8,North,New Property,1768.0,1,1,0,0,0,Furnished,0,28.35784076551518,76.97337427680905
orris aster court,Sector 85 ,1.45,9137.0,3,3,3,6,South,Relatively New,1483.0,0,0,0,0,1,Semi-Furnished,0,28.4053067,76.9500649
godrej air,Sector 85 ,3.9,15006.0,4,4,3,23,East,New Property,2987.0,0,1,0,0,0,Unknown,3,28.40770741352476,76.95308747935711
bestech park view spa next,Sector 67 ,3.15,16279.0,3,4,3+,9,East,Moderately Old,1725.0,0,1,0,0,0,Semi-Furnished,0,28.389038888888887,77.05425277777778
orris aster court,Sector 85 ,1.35,8507.0,3,3,3,5,North-East,Moderately Old,1400.0,0,0,0,0,1,Semi-Furnished,25,28.4045941,76.9509982
bestech park view spa next,Sector 67 ,4.3,16015.0,4,5,3+,5,North-East,Old Property,2393.0,0,1,0,0,0,Semi-Furnished,0,28.38888328710624,77.05699603943862
dlf new town heights 1,Sector 90 ,2.08,10777.0,3,3,3+,15,North,Moderately Old,1500.0,0,1,0,0,0,Unknown,11,28.407368,76.9322724
hero homes,Sector 104 ,2.08,14975.0,3,2,2,8,North-East,New Property,1188.0,0,1,0,0,0,Unknown,6,28.484427601971767,76.99357763157316
suncity vatsal valley,Gwal Pahari,1.72,12028.0,3,3,2,3,North-East,New Property,1644.0,0,1,0,0,0,Semi-Furnished,10,28.437125972222223,77.138
m3m heights,Sector 65 ,4.18,20490.0,3,3,3,12,North-East,New Property,1818.0,0,1,0,0,0,Semi-Furnished,0,28.40429489972222,77.06494049999999
ats triumph,Sector 104 ,3.0,13100.0,3,3,3+,7,East,Relatively New,1900.0,0,1,0,0,0,Semi-Furnished,6,28.477248535402,76.986079172918
vatika sovereign park,Sector 99 ,3.75,13489.0,3,3,3+,3,North-West,New Property,2780.0,0,1,0,0,0,Semi-Furnished,0,28.463438888888888,76.96649166666667
signature global de luxe dxp,Sector 37D ,3.7,14986.0,3,3,3+,16,East,Under Construction,2838.0,1,1,0,1,1,Semi-Furnished,22,28.44588,76.96717
conscient elevate,Sector 59 ,5.32,23181.0,3,4,2,6,North-East,New Property,1745.0,0,1,0,0,0,Semi-Furnished,17,28.408615,77.105055
bestech park view city 2,Sector 49 ,3.2,17214.0,3,4,3,1,East,Old Property,1657.0,0,1,0,0,0,Semi-Furnished,5,28.404905555555555,77.04466666666667
m3m soulitude,Sector 89 ,1.4,12433.0,2,2,2,1,East,New Property,875.0,1,0,0,0,0,Semi-Furnished,0,28.4254949419671,76.9461816090713
central park the room,Sector 48 ,1.95,24375.0,1,1,0,10,East,Moderately Old,800.0,1,0,0,0,0,Furnished,4,28.4236088,77.0371882
pyramid square 67a,Sector 67A ,0.82,13735.0,2,2,1,4,North,Relatively New,686.0,1,0,0,0,0,Unknown,12,28.3782984,77.0571362
ramprastha primera,Sector 37D ,1.65,9296.0,3,3,3+,12,North,Relatively New,1582.0,1,0,0,0,0,Semi-Furnished,0,28.4526,76.97318888888888
bptp spacio,Sector 37D ,2.15,16500.0,3,3,3+,7,North-East,Relatively New,1161.0,1,0,0,0,0,Semi-Furnished,0,28.447044444444444,76.98153333333333
ramprastha the edge towers,Sector 37D ,1.2,8696.0,2,2,3,7,North-East,Relatively New,1362.0,0,0,0,1,0,Semi-Furnished,13,28.4471912,76.96924320000001
vipul lavanya,Sector 81 ,1.39,9085.0,3,3,3,12,North,Moderately Old,1314.0,0,0,0,1,0,Semi-Furnished,0,28.38722780700484,76.9406343379358
emaar digihomes,Sector 62 ,3.35,22215.0,2,2,2,3,North,Relatively New,1250.0,0,0,0,1,0,Semi-Furnished,0,28.403972222222222,77.08562777777777
unitech escape,Nirvana Country,5.12,17027.0,4,6,3+,G,West,Old Property,3056.0,0,1,0,0,1,Unknown,4,28.40838879644662,77.05974627100358
vatika seven elements,Sector 89 A ,2.55,10180.0,4,4,3,4,West,New Property,2233.0,0,1,0,1,0,Semi-Furnished,4,28.426740972222223,76.9418
dlf the skycourt,Sector 86 ,2.35,12170.0,3,3,3,7,North-East,New Property,1721.0,0,1,0,1,0,Semi-Furnished,25,28.398949399722223,76.93676809972223
krisumi waterfall residences,Sector 36A ,3.0,20718.0,2,2,3,18,East,Relatively New,1448.0,0,1,0,1,0,Furnished,23,28.4172674,76.9741858
ramprastha the edge towers,Sector 37D ,1.35,8182.0,3,3,3+,2,North,New Property,1597.0,0,0,0,0,1,Unknown,0,28.4469811,76.9694183
ireo uptown,Sector 66 ,3.05,18101.0,3,3,3,7,South,Moderately Old,1680.0,0,1,0,0,0,Semi-Furnished,10,28.39657760128172,77.05865957928387
dlf new town heights 1,Sector 90 ,2.7,9901.0,4,4,3+,7,East,Moderately Old,2430.0,0,1,0,0,0,Unknown,5,28.4071643,76.9321888
godrej habitat,Sector 3 ,2.01,9663.0,3,3,3,15,East,New Property,2079.0,0,1,0,0,0,Semi-Furnished,10,28.48563978568371,77.01396236250967
bptp terra,Sector 37D ,2.2,12148.0,3,3,3+,12,North-East,Relatively New,1439.0,0,1,0,0,0,Semi-Furnished,0,28.4526869,76.976075
bptp terra,Sector 37D ,2.6,11867.0,4,3,3+,12,North-East,New Property,1953.0,0,1,0,0,0,Semi-Furnished,3,28.4560277,76.9730867
alpha corp gurgaonone 84,Sector 84 ,1.68,10952.0,2,2,2,11,North-East,Relatively New,1340.0,0,1,0,0,0,Semi-Furnished,0,28.4059218,76.96577249972222
